date,string
2025-02-02,VINCOFE
2025-02-02,VSTTILLERS
2025-02-02,WEL
2025-02-02,WELCORP
2025-02-02,WELENT
2025-02-02,WELINV
2025-02-02,WINDLAS
2025-02-02,WINSOMTX
2025-02-02,WIPRO
2025-02-02,WPIL
2025-02-02,YOGI
2025-02-02,ZMILGFIN
2025-02-02,ZYDUSLIFE
